,location,price-boroughwise,property_type,review_scores_rating,listing_id
33147,Camden,average,large,93.0,27580346.0
33148,Camden,expensive,small,89.0,27580371.0
33149,Camden,cheap,small,81.0,27580491.0
33151,Camden,expensive,large,88.0,27580791.0
33153,Camden,expensive,large,80.0,27586595.0
33168,Camden,cheap,small,90.0,27593654.0
33194,Camden,cheap,small,74.0,27604168.0
33258,Camden,very_expensive,large,98.0,27647052.0
33265,Camden,cheap,small,93.0,27650214.0
33278,Camden,cheap,small,97.0,27652960.0
33283,Camden,average,small,85.0,27658315.0
33299,Camden,average,large,95.0,27676887.0
33307,Camden,very_cheap,room,89.0,27680419.0
33336,Camden,very_expensive,large,96.0,27696873.0
33340,Camden,very_expensive,large,100.0,27698015.0
33347,Camden,very_expensive,large,95.0,27704207.0
33348,Camden,very_expensive,small,97.0,27704429.0
33349,Camden,very_expensive,small,94.0,27704798.0
33355,Camden,expensive,small,88.0,27711272.0
33371,Camden,very_expensive,large,97.0,27717711.0
33376,Camden,expensive,small,100.0,27718382.0
33377,Camden,average,large,94.0,27719002.0
33379,Camden,very_expensive,large,94.0,27719455.0
33389,Camden,very_expensive,large,89.0,27722520.0
33410,Camden,average,small,88.0,27744116.0
33432,Camden,very_expensive,small,87.0,27750764.0
33454,Camden,average,large,92.0,27770318.0
33480,Camden,expensive,small,92.0,27786276.0
33481,Camden,expensive,small,96.0,27786741.0
33484,Camden,very_cheap,room,87.0,27792304.0
33494,Camden,average,large,87.0,27798628.0
33511,Camden,average,small,100.0,27807018.0
33528,Camden,very_expensive,large,96.0,27821824.0
33535,Camden,average,large,87.0,27823983.0
33550,Camden,very_cheap,room,89.0,27829714.0
33551,Camden,average,small,88.0,27830319.0
33552,Camden,very_expensive,large,85.0,27831431.0
33559,Camden,average,large,100.0,27833442.0
33567,Camden,very_cheap,room,82.0,27841962.0
33573,Camden,cheap,room,99.0,27843777.0
33574,Camden,average,small,93.0,27843882.0
33591,Camden,very_cheap,room,95.0,27858806.0
33593,Camden,very_cheap,room,99.0,27862081.0
33595,Camden,cheap,room,95.0,27863349.0
33598,Camden,very_cheap,room,94.0,27864675.0
33599,Camden,very_cheap,room,100.0,27864694.0
33606,Camden,very_cheap,room,99.0,27868765.0
33610,Camden,cheap,small,90.0,27870994.0
33611,Camden,very_cheap,room,93.0,27872336.0
33630,Camden,cheap,small,88.0,27886755.0
33637,Camden,very_expensive,small,82.0,27890026.0
33642,Camden,cheap,room,91.0,27892425.0
33644,Camden,cheap,room,100.0,27893289.0
33663,Camden,very_cheap,room,96.0,27914007.0
33664,Camden,expensive,large,93.0,27914687.0
33665,Camden,cheap,large,73.0,27914919.0
33694,Camden,very_expensive,large,91.0,27926913.0
33703,Camden,very_expensive,large,87.0,27944153.0
33729,Camden,average,small,98.0,27960986.0
33731,Camden,very_expensive,large,99.0,27961894.0
33762,Camden,very_cheap,room,96.0,27980680.0
33778,Camden,cheap,small,96.0,27998221.0
33786,Camden,expensive,large,100.0,28000159.0
33800,Camden,average,large,97.0,28008193.0
33815,Camden,cheap,room,98.0,28022914.0
33818,Camden,cheap,small,78.0,28025913.0
33822,Camden,cheap,small,90.0,28028200.0
33834,Camden,cheap,room,99.0,28040411.0
33837,Camden,very_expensive,large,97.0,28042631.0
33838,Camden,very_cheap,small,82.0,28044283.0
33853,Camden,very_expensive,small,86.0,28063620.0
33855,Camden,very_expensive,large,95.0,28064534.0
33869,Camden,very_cheap,room,93.0,28069023.0
33876,Camden,very_expensive,large,85.0,28070883.0
33885,Camden,expensive,room,100.0,28073359.0
33888,Camden,cheap,small,100.0,28075625.0
33904,Camden,expensive,room,73.0,28087691.0
33916,Camden,average,large,91.0,28096313.0
33924,Camden,cheap,small,85.0,28100116.0
33925,Camden,expensive,small,89.0,28100220.0
33938,Camden,expensive,small,100.0,28105985.0
33945,Camden,very_expensive,large,98.0,28115679.0
33972,Camden,cheap,room,95.0,28130865.0
33980,Camden,cheap,small,93.0,28134564.0
34008,Camden,very_cheap,small,94.0,28158679.0
34012,Camden,average,small,85.0,28168172.0
34034,Camden,average,small,95.0,28178336.0
34040,Camden,average,small,99.0,28184196.0
34044,Camden,average,small,97.0,28189180.0
34071,Camden,very_cheap,room,82.0,28204436.0
34082,Camden,average,small,91.0,28213571.0
